TIME;u(t);I(t)
-2,00E-02;0,2;0,32
-2,00E-02;0,2;0,36
-2,00E-02;0;0,36
-2,00E-02;0;0,32
-2,00E-02;-0,2;0,36
-2,00E-02;-0,4;0,32
-2,00E-02;-0,2;0,28
-2,00E-02;0;0,36
-2,00E-02;-0,4;0,32
-2,00E-02;0,2;0,36
-2,00E-02;-0,2;0,4
-2,00E-02;0;0,32
-2,00E-02;0;0,32
-1,99E-02;-0,2;0,36
-1,99E-02;-0,2;0,36
-1,99E-02;0;0,28
-1,99E-02;0;0,36
-1,99E-02;0;0,44
-1,99E-02;0,2;0,28
-1,99E-02;0;0,36
-1,99E-02;-0,2;0,36
-1,99E-02;-0,4;0,4
-1,99E-02;0;0,4
-1,99E-02;0,2;0,28
-1,99E-02;0;0,28
-1,99E-02;0,2;0,32
-1,99E-02;0;0,36
-1,99E-02;0;0,36
-1,99E-02;0;0,36
-1,99E-02;0,4;0,28
-1,99E-02;0;0,4
-1,99E-02;0;0,4
-1,99E-02;0;0,32
-1,99E-02;0;0,36
-1,99E-02;0;0,36
-1,99E-02;0,4;0,28
-1,99E-02;0,2;0,36
-1,99E-02;0,2;0,28
-1,98E-02;0,2;0,4
-1,98E-02;-0,2;0,4
-1,98E-02;0;0,32
-1,98E-02;0,2;0,32
-1,98E-02;0;0,32
-1,98E-02;0,2;0,32
-1,98E-02;0,2;0,32
-1,98E-02;0,2;0,28
-1,98E-02;0;0,36
-1,98E-02;0,2;0,44
-1,98E-02;0,4;0,32
-1,98E-02;0,2;0,36
-1,98E-02;0;0,36
-1,98E-02;0;0,36
-1,98E-02;0,2;0,36
-1,98E-02;0;0,32
-1,98E-02;0,2;0,36
-1,98E-02;0,4;0,24
-1,98E-02;0,2;0,32
-1,98E-02;0,4;0,28
-1,98E-02;0;0,32
-1,98E-02;0,2;0,36
-1,98E-02;0,4;0,4
-1,98E-02;0;0,28
-1,98E-02;-0,2;0,32
-1,97E-02;0,2;0,36
-1,97E-02;0,2;0,32
-1,97E-02;0;0,32
-1,97E-02;0,2;0,4
-1,97E-02;0,4;0,36
-1,97E-02;0,2;0,4
-1,97E-02;0,2;0,4
-1,97E-02;0,4;0,36
-1,97E-02;0,4;0,4
-1,97E-02;0,4;0,4
-1,97E-02;0,6;0,36
-1,97E-02;0,6;0,4
-1,97E-02;0,2;0,32
-1,97E-02;0,2;0,32
-1,97E-02;0,6;0,48
-1,97E-02;0,4;0,4
-1,97E-02;0,4;0,4
-1,97E-02;0,6;0,36
-1,97E-02;0,2;0,36
-1,97E-02;0,2;0,32
-1,97E-02;0,4;0,4
-1,97E-02;0,6;0,44
-1,97E-02;0,6;0,4
-1,97E-02;0,4;0,32
-1,97E-02;0,4;0,32
-1,96E-02;0,4;0,36
-1,96E-02;0,4;0,4
-1,96E-02;0,4;0,36
-1,96E-02;0,2;0,4
-1,96E-02;0,6;0,4
-1,96E-02;0,4;0,36
-1,96E-02;0,8;0,36
-1,96E-02;0,6;0,36
-1,96E-02;0;0,32
-1,96E-02;0,2;0,32
-1,96E-02;0,4;0,4
-1,96E-02;0,4;0,36
-1,96E-02;0,6;0,28
-1,96E-02;1;0,36
-1,96E-02;0,6;0,36
-1,96E-02;0,6;0,4
-1,96E-02;0,6;0,4
-1,96E-02;0,8;0,36
-1,96E-02;0,4;0,36
-1,96E-02;0,2;0,36
-1,96E-02;0,4;0,48
-1,96E-02;0,4;0,28
-1,96E-02;0,6;0,4
-1,96E-02;0,4;0,36
-1,96E-02;0,8;0,32
-1,95E-02;0,6;0,28
-1,95E-02;0,6;0,4
-1,95E-02;0,6;0,32
-1,95E-02;0,8;0,36
-1,95E-02;0,4;0,36
-1,95E-02;0,6;0,36
-1,95E-02;0,4;0,36
-1,95E-02;0,6;0,36
-1,95E-02;0,2;0,4
-1,95E-02;0,8;0,4
-1,95E-02;0,6;0,4
-1,95E-02;0,4;0,4
-1,95E-02;0,6;0,36
-1,95E-02;0,6;0,4
-1,95E-02;0,4;0,32
-1,95E-02;0,6;0,44
-1,95E-02;0,8;0,32
-1,95E-02;0,6;0,28
-1,95E-02;0,4;0,32
-1,95E-02;0,6;0,36
-1,95E-02;0,8;0,4
-1,95E-02;0,6;0,4
-1,95E-02;0,6;0,4
-1,95E-02;1,2;0,28
-1,95E-02;0,6;0,36
-1,94E-02;0,8;0,36
-1,94E-02;0,6;0,32
-1,94E-02;0,8;0,32
-1,94E-02;0,4;0,36
-1,94E-02;1;0,4
-1,94E-02;0,4;0,36
-1,94E-02;0,6;0,36
-1,94E-02;0,8;0,36
-1,94E-02;0,6;0,4
-1,94E-02;0,8;0,48
-1,94E-02;1;0,32
-1,94E-02;0,8;0,4
-1,94E-02;0,8;0,36
-1,94E-02;1;0,32
-1,94E-02;1;0,32
-1,94E-02;0,6;0,32
-1,94E-02;1;0,4
-1,94E-02;0,6;0,36
-1,94E-02;0,8;0,36
-1,94E-02;1;0,36
-1,94E-02;0,6;0,4
-1,94E-02;0,6;0,4
-1,94E-02;0,8;0,32
-1,94E-02;1,2;0,32
-1,94E-02;1;0,36
-1,93E-02;1;0,36
-1,93E-02;0,8;0,36
-1,93E-02;0,8;0,36
-1,93E-02;1;0,32
-1,93E-02;0,6;0,36
-1,93E-02;0,8;0,36
-1,93E-02;0,8;0,36
-1,93E-02;0,8;0,4
-1,93E-02;1,4;0,36
-1,93E-02;0,8;0,44
-1,93E-02;0,8;0,36
-1,93E-02;1;0,32
-1,93E-02;1;0,36
-1,93E-02;1;0,4
-1,93E-02;1;0,44
-1,93E-02;0,6;0,36
-1,93E-02;0,8;0,36
-1,93E-02;1;0,36
-1,93E-02;1;0,36
-1,93E-02;1,2;0,32
-1,93E-02;1,2;0,36
-1,93E-02;1;0,32
-1,93E-02;0,8;0,36
-1,93E-02;1,2;0,36
-1,93E-02;1;0,4
-1,92E-02;1,2;0,4
-1,92E-02;1,2;0,4
-1,92E-02;1,2;0,4
-1,92E-02;1;0,44
-1,92E-02;1;0,36
-1,92E-02;1,4;0,32
-1,92E-02;1;0,36
-1,92E-02;1;0,36
-1,92E-02;1;0,36
-1,92E-02;0,8;0,4
-1,92E-02;0,6;0,4
-1,92E-02;0,8;0,4
-1,92E-02;1,2;0,36
-1,92E-02;0,8;0,4
-1,92E-02;1;0,4
-1,92E-02;1;0,36
-1,92E-02;1,4;0,36
-1,92E-02;1;0,32
-1,92E-02;1,2;0,36
-1,92E-02;1;0,4
-1,92E-02;1,4;0,44
-1,92E-02;1,4;0,36
-1,92E-02;1,4;0,4
-1,92E-02;1,4;0,36
-1,92E-02;1,4;0,36
-1,91E-02;1,6;0,36
-1,91E-02;1;0,28
-1,91E-02;1,4;0,4
-1,91E-02;1,2;0,4
-1,91E-02;1;0,44
-1,91E-02;1,4;0,4
-1,91E-02;1,2;0,4
-1,91E-02;1,2;0,36
-1,91E-02;1,6;0,32
-1,91E-02;1,2;0,36
-1,91E-02;1,4;0,44
-1,91E-02;1,6;0,4
-1,91E-02;1,2;0,36
-1,91E-02;1,4;0,4
-1,91E-02;1,4;0,4
-1,91E-02;1,4;0,36
-1,91E-02;1,4;0,36
-1,91E-02;1,4;0,36
-1,91E-02;1,2;0,36
-1,91E-02;1,4;0,36
-1,91E-02;1,4;0,4
-1,91E-02;1;0,4
-1,91E-02;1,4;0,4
-1,91E-02;1,6;0,44
-1,91E-02;1,4;0,44
-1,90E-02;1,4;0,4
-1,90E-02;1,6;0,36
-1,90E-02;1,2;0,4
-1,90E-02;1,6;0,32
-1,90E-02;1,4;0,4
-1,90E-02;1,4;0,32
-1,90E-02;1,6;0,36
-1,90E-02;1,4;0,32
-1,90E-02;1,4;0,4
-1,90E-02;1,4;0,4
-1,90E-02;1,4;0,4
-1,90E-02;1,6;0,4
-1,90E-02;1,6;0,4
-1,90E-02;1,4;0,32
-1,90E-02;1,4;0,32
-1,90E-02;1,4;0,32
-1,90E-02;1,8;0,36
-1,90E-02;1,2;0,36
-1,90E-02;1,4;0,4
-1,90E-02;1,8;0,36
-1,90E-02;1,4;0,32
-1,90E-02;1,6;0,32
-1,90E-02;1,6;0,36
-1,90E-02;1,4;0,32
-1,90E-02;1,4;0,4
-1,89E-02;1,2;0,4
-1,89E-02;1,4;0,32
-1,89E-02;1,4;0,4
-1,89E-02;1,2;0,32
-1,89E-02;2;0,4
-1,89E-02;1,8;0,36
-1,89E-02;1,6;0,4
-1,89E-02;1,4;0,32
-1,89E-02;1,4;0,4
-1,89E-02;1,4;0,32
-1,89E-02;1,8;0,4
-1,89E-02;1,8;0,36
-1,89E-02;1,8;0,36
-1,89E-02;1,8;0,32
-1,89E-02;1,8;0,4
-1,89E-02;1,6;0,32
-1,89E-02;1,6;0,32
-1,89E-02;1,2;0,4
-1,89E-02;1,8;0,4
-1,89E-02;1,6;0,28
-1,89E-02;1,4;0,36
-1,89E-02;1,6;0,36
-1,89E-02;1,6;0,4
-1,89E-02;1,8;0,4
-1,89E-02;1,6;0,36
-1,88E-02;1,6;0,4
-1,88E-02;1,6;0,4
-1,88E-02;1,6;0,48
-1,88E-02;1,4;0,32
-1,88E-02;1,4;0,32
-1,88E-02;1,6;0,32
-1,88E-02;1,8;0,32
-1,88E-02;1,8;0,32
-1,88E-02;1,6;0,36
-1,88E-02;1,6;0,32
-1,88E-02;1,6;0,4
-1,88E-02;1,8;0,32
-1,88E-02;1,8;0,36
-1,88E-02;1,6;0,28
-1,88E-02;1,8;0,44
-1,88E-02;1,8;0,36
-1,88E-02;1,6;0,28
-1,88E-02;2;0,36
-1,88E-02;1,6;0,36
-1,88E-02;1,6;0,44
-1,88E-02;1,8;0,4
-1,88E-02;1,8;0,36
-1,88E-02;1,6;0,36
-1,88E-02;1,6;0,32
-1,88E-02;1,6;0,28
-1,87E-02;2;0,4
-1,87E-02;1,8;0,36
-1,87E-02;1,8;0,4
-1,87E-02;2;0,36
-1,87E-02;2;0,36
-1,87E-02;1,8;0,4
-1,87E-02;1,6;0,32
-1,87E-02;1,8;0,4
-1,87E-02;1,8;0,28
-1,87E-02;2;0,36
-1,87E-02;2;0,4
-1,87E-02;1,8;0,36
-1,87E-02;1,8;0,32
-1,87E-02;1,8;0,4
-1,87E-02;1,8;0,32
-1,87E-02;1,8;0,32
-1,87E-02;2;0,32
-1,87E-02;2;0,44
-1,87E-02;2;0,36
-1,87E-02;1,8;0,36
-1,87E-02;1,8;0,32
-1,87E-02;2;0,36
-1,87E-02;1,8;0,4
-1,87E-02;1,8;0,36
-1,87E-02;2;0,4
-1,86E-02;1,8;0,4
-1,86E-02;1,8;0,44
-1,86E-02;2;0,36
-1,86E-02;1,8;0,32
-1,86E-02;2;0,36
-1,86E-02;2,2;0,32
-1,86E-02;2,2;0,36
-1,86E-02;2;0,28
-1,86E-02;2;0,4
-1,86E-02;2;0,28
-1,86E-02;2,2;0,32
-1,86E-02;1,8;0,36
-1,86E-02;2,4;0,36
-1,86E-02;2,2;0,32
-1,86E-02;2;0,32
-1,86E-02;2;0,4
-1,86E-02;2;0,32
-1,86E-02;2,2;0,32
-1,86E-02;2,2;0,32
-1,86E-02;2,4;0,36
-1,86E-02;1,8;0,36
-1,86E-02;2,2;0,28
-1,86E-02;2,2;0,28
-1,86E-02;2;0,32
-1,86E-02;2;0,32
-1,85E-02;2,2;0,4
-1,85E-02;2;0,28
-1,85E-02;2;0,48
-1,85E-02;2;0,4
-1,85E-02;2,2;0,32
-1,85E-02;2,2;0,32
-1,85E-02;2,2;0,36
-1,85E-02;1,8;0,32
-1,85E-02;2,2;0,36
-1,85E-02;2,4;0,4
-1,85E-02;2,4;0,36
-1,85E-02;2,2;0,4
-1,85E-02;2,2;0,32
-1,85E-02;2,2;0,4
-1,85E-02;2,2;0,24
-1,85E-02;2;0,28
-1,85E-02;2;0,32
-1,85E-02;2;0,28
-1,85E-02;2,2;0,44
-1,85E-02;2,2;0,28
-1,85E-02;2,2;0,36
-1,85E-02;2,2;0,28
-1,85E-02;2;0,36
-1,85E-02;2,2;0,36
-1,85E-02;2;0,32
-1,84E-02;2,4;0,32
-1,84E-02;2,2;0,36
-1,84E-02;2,2;0,36
-1,84E-02;2,2;0,32
-1,84E-02;2,2;0,28
-1,84E-02;2,2;0,28
-1,84E-02;2;0,32
-1,84E-02;2,2;0,32
-1,84E-02;2,4;0,4
-1,84E-02;2,6;0,4
-1,84E-02;2,2;0,28
-1,84E-02;2,2;0,28
-1,84E-02;2,4;0,36
-1,84E-02;2,2;0,36
-1,84E-02;2,2;0,32
-1,84E-02;2,4;0,36
-1,84E-02;2,4;0,4
-1,84E-02;2,4;0,36
-1,84E-02;2;0,36
-1,84E-02;2,4;0,4
-1,84E-02;2;0,36
-1,84E-02;2,2;0,36
